gt_track_id,on_mat_blueprint,in_quad_pct,gt_matched_frames,coverage_clip_pct,coverage_presence_pct,low_confidence,median_box_area,seg_index,frame_start,frame_end,n_frames,tracklet_id,tracklet_purity,tracklet_total_matched,d1_node_id,d1_segment_type,d1_capacity,in_group_span,group_gt_box_iou,person_id,canonical_person_id,agrees_with_canonical,failure_mode
0,True,97.1,1705,96.7,96.6,False,60958.6,0,0,104,106,t2,0.7125,1666.0,G:0-104:carrier=t2:d=none:n=t17,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,1,105,105,1,t17,1.0,1.0,T:t17,SOLO,1.0,False,,p0002,p0001,False,present_misattributed
0,True,97.1,1705,96.7,96.6,False,60958.6,2,106,106,1,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,3,107,119,13,t2,0.7125,1666.0,G:106-119:carrier=t2:d=t17:n=t21,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,4,120,120,1,t21,1.0,1.0,T:t21,SOLO,1.0,False,,p0002,p0001,False,present_misattributed
0,True,97.1,1705,96.7,96.6,False,60958.6,5,121,121,1,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,6,122,155,34,t2,0.7125,1666.0,G:121-362:carrier=t2:d=t21:n=t49,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,7,156,156,1,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,8,157,346,190,t2,0.7125,1666.0,G:121-362:carrier=t2:d=t21:n=t49,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,9,347,348,2,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,10,349,362,14,t2,0.7125,1666.0,G:121-362:carrier=t2:d=t21:n=t49,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,11,363,368,6,t2,0.7125,1666.0,T:t2:s5:363-403,SOLO,1.0,False,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,12,369,369,1,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,13,370,378,9,t2,0.7125,1666.0,T:t2:s5:363-403,SOLO,1.0,False,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,14,379,379,1,t49,0.0833,12.0,T:t49,SOLO,1.0,False,,p0002,p0001,False,present_misattributed
0,True,97.1,1705,96.7,96.6,False,60958.6,15,380,391,12,t2,0.7125,1666.0,T:t2:s5:363-403,SOLO,1.0,False,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,16,392,392,1,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,17,393,403,11,t2,0.7125,1666.0,T:t2:s5:363-403,SOLO,1.0,False,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,18,404,445,42,t2,0.7125,1666.0,G:404-488:carrier=t2:d=t51:n=t62,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,19,446,447,2,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,20,448,452,5,t2,0.7125,1666.0,G:404-488:carrier=t2:d=t51:n=t62,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,21,453,453,1,,,,,,,False,,,p0001,,stage_a_no_detection
0,True,97.1,1705,96.7,96.6,False,60958.6,22,454,488,35,t2,0.7125,1666.0,G:404-488:carrier=t2:d=t51:n=t62,GROUP,2.0,True,,p0001,p0001,True,present
0,True,97.1,1705,96.7,96.6,False,60958.6,23,489,562,74,t2,0.7125,1666.0,T:t2:s7:489-567,SOLO,1.0,False,,p0001,p0001,True,present
