gt_track_id,boundary_frame,src_node_id,dst_node_id,population,gt_correct,curr_person_id,nxt_person_id,curr_in_group,nxt_in_group,edge_id,edge_type,is_allowed,disallow_reasons,total_cost,term_env,term_time,term_vreq,term_missing_geom,term_flags,term_group_coherence,term_birth_prior,term_death_prior,term_merge_prior,term_split_prior,dt_s,dist_m,v_req_mps
1,182,G:172-181:carrier=t1:d=t29:n=t31,T:t1:s6:182-183,no_edge_exists,,p0005,p0005,True,False,,,,,,,,,,,,,,,,,,
1,184,T:t1:s6:182-183,G:184-279:carrier=t1:d=t31:n=none,no_edge_exists,,p0005,p0005,False,True,,,,,,,,,,,,,,,,,,
2,202,G:0-201:carrier=t3:d=none:n=t34,T:t3:s1:202-207,chosen_wrong,False,p0004,p0003,True,False,E:CONT:G:0-201:carrier=t3:d=none:n=t34->T:t3:s1:202-207,EdgeType.CONTINUE,True,[],0.01648509723196163,0.01,0.006485097231961632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0050876748492875426,0.07593544551175437
2,254,G:208-253:carrier=t3:d=t34:n=t40,T:t40,no_edge_exists,,p0004,p0004,False,False,,,,,,,,,,,,,,,,,,
2,359,G:270-358:carrier=t3:d=t41:n=t47,T:t3:s5:359-666,no_edge_exists,,p0003,p0003,False,False,,,,,,,,,,,,,,,,,,
2,378,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,379,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,412,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,415,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,418,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,419,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,445,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,456,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,465,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,466,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,470,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,472,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,481,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,482,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,484,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,487,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,488,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,489,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,491,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,492,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,506,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,508,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,524,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,525,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,529,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,530,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,537,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,538,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,572,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,573,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
