camera,hour,run_label,segment_filename,wall_start_utc,timing_mode,excluded_cfr_grid,sidecar_schema,measured_fps,input_frame_count,output_frame_count,mismatch,attempt,seg_seconds,is_phase2,width,height,bitrate_bps,brightness_mean,brightness_std,people_mean_025,people_max_025,people_mean_045,people_max_045,n_samples,dt_median_ms,dt_min_ms,dt_max_ms,dt_std_ms,n_near_33ms,n_near_67ms,n_dt_total
FP7oJQ,15,capture,FP7oJQ-20260804-155847.mp4,20260804-155847,passthrough,False,2,15.0,1651,1650,True,12,110.1,False,1920,1080,667009,83.55,0.79,1.09,2,1.0,2,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-160046.mp4,20260804-160046,passthrough,False,2,14.9999,1030,1059,True,12,68.7,False,1920,1080,655976,83.0,0.17,1.12,2,0.88,1,8,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-160252.mp4,20260804-160252,passthrough,False,2,15.0001,1578,1579,True,13,105.2,False,1920,1080,532550,82.35,0.17,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-160500.mp4,20260804-160500,passthrough,False,2,15.0,1707,1680,True,14,113.8,False,1920,1080,536689,83.38,0.39,1.0,1,1.0,1,12,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-160701.mp4,20260804-160701,passthrough,False,2,15.0,1650,1650,False,14,110.0,False,1920,1080,533265,85.06,0.88,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-160900.mp4,20260804-160900,passthrough,False,2,15.0,1680,1680,False,14,112.0,False,1920,1080,535079,85.12,0.69,1.0,1,1.0,1,12,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-161102.mp4,20260804-161102,passthrough,False,2,14.9998,1650,1650,False,14,110.0,False,1920,1080,544087,86.86,1.49,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-161300.mp4,20260804-161300,passthrough,False,2,15.0,1650,1650,False,14,110.0,False,1920,1080,563284,84.95,1.56,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-161500.mp4,20260804-161500,passthrough,False,2,14.9999,1679,1680,True,14,111.9,False,1920,1080,559738,86.42,0.54,1.0,1,1.0,1,12,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-161702.mp4,20260804-161702,passthrough,False,2,14.9999,1652,1650,True,14,110.1,False,1920,1080,556672,86.0,0.84,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-161902.mp4,20260804-161902,passthrough,False,2,15.0,1648,1650,True,14,109.9,False,1920,1080,563692,87.2,0.7,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-162101.mp4,20260804-162101,passthrough,False,2,15.0,1652,1650,True,14,110.1,False,1920,1080,547849,88.37,0.36,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-162301.mp4,20260804-162301,passthrough,False,2,15.0001,1649,1650,True,14,109.9,False,1920,1080,557519,86.75,0.54,1.09,2,0.91,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-162501.mp4,20260804-162501,passthrough,False,2,15.0,1650,1650,False,14,110.0,False,1920,1080,547141,84.83,0.95,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-162701.mp4,20260804-162701,passthrough,False,2,15.0001,1650,1650,False,14,110.0,False,1920,1080,533492,84.64,0.59,1.0,1,1.0,1,11,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-162900.mp4,20260804-162900,passthrough,False,2,15.0001,1680,1680,False,14,112.0,True,1920,1080,554850,84.73,1.29,1.0,1,0.99,1,112,67.0,66.0,200.0,19.153,0,1537,1679
FP7oJQ,15,capture,FP7oJQ-20260804-163102.mp4,20260804-163102,passthrough,False,2,30.0019,2519,2520,True,14,84.0,True,1920,1080,1001805,87.33,1.17,1.2,4,1.04,4,168,34.0,33.0,200.0,22.317,1612,833,2518
FP7oJQ,15,capture,FP7oJQ-20260804-163300.mp4,20260804-163300,passthrough,False,2,30.0004,3540,3540,False,14,118.0,True,1920,1080,1701182,88.85,0.5,2.97,5,2.61,4,236,33.0,33.0,67.0,2.779,3515,24,3539
FP7oJQ,15,capture,FP7oJQ-20260804-163459.mp4,20260804-163459,passthrough,False,2,30.001,3540,3540,False,14,118.0,False,1920,1080,1665356,89.77,0.64,2.75,4,2.46,3,24,,,,,,,
FP7oJQ,15,capture,FP7oJQ-20260804-163659.mp4,20260804-163659,passthrough,False,2,29.9994,989,1015,True,14,33.0,False,1920,1080,1769657,89.16,0.4,3.0,4,3.0,4,7,,,,,,,
PPDmUg,09,smoke_09,PPDmUg-20260804-093412.mp4,20260804-093412,passthrough,False,,14.9254,358,330,True,1,24.0,False,1280,720,480544,106.01,0.69,0.0,0,0.0,0,11,,,,,,,
PPDmUg,09,smoke_09,PPDmUg-20260804-093434.mp4,20260804-093434,passthrough,False,,14.9254,299,300,True,1,20.0,False,1280,720,491484,105.7,0.41,0.0,0,0.0,0,10,,,,,,,
PPDmUg,09,smoke_09,PPDmUg-20260804-093454.mp4,20260804-093454,passthrough,False,,14.9254,213,240,True,1,14.3,False,1280,720,496086,105.65,0.2,0.0,0,0.0,0,8,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-104042.mp4,20260804-104042,passthrough,False,,14.9254,358,330,True,1,24.0,False,1280,720,483818,103.18,0.08,0.0,0,0.0,0,11,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-104104.mp4,20260804-104104,passthrough,False,,14.9254,62,90,True,1,4.2,False,1280,720,453600,103.08,0.03,0.0,0,0.0,0,3,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-104850.mp4,20260804-104850,cfr_grid,True,,15.0,328,300,True,1,21.9,False,1280,720,469291,,,,,,,0,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-104910.mp4,20260804-104910,cfr_grid,True,,15.0018,86,114,True,1,5.7,False,1280,720,508058,,,,,,,0,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-105641.mp4,20260804-105641,passthrough,False,,14.9254,357,330,True,1,23.9,False,1280,720,486934,99.58,0.34,0.09,1,0.0,0,11,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-105703.mp4,20260804-105703,passthrough,False,,14.9254,300,300,False,1,20.1,False,1280,720,490660,100.72,0.23,0.0,0,0.0,0,10,,,,,,,
PPDmUg,10,smoke_10,PPDmUg-20260804-105724.mp4,20260804-105724,passthrough,False,,14.9254,228,255,True,1,15.3,False,1280,720,509991,100.77,0.28,0.0,0,0.0,0,9,,,,,,,
PPDmUg,11,smoke_11,PPDmUg-20260804-110227.mp4,20260804-110227,cfr_grid,True,,14.9537,324,300,True,1,21.7,False,1280,720,410589,,,,,,,0,,,,,,,
PPDmUg,11,smoke_11,PPDmUg-20260804-110247.mp4,20260804-110247,cfr_grid,True,,15.0,109,135,True,1,7.3,False,1280,720,460747,,,,,,,0,,,,,,,
