segment_id,n_intervals,modal_tick,grid_rate,effective_rate,rate_ratio,predicted_skip,observed_skip,n_gaps,category
FP7oJQ-20260805-063714,326,6030,14.9254,14.1327,1.056085,17.83,20,21,skip_predicted
FP7oJQ-20260805-063735,269,6030,14.9254,14.1579,1.054209,18.45,14,16,skip_predicted
FP7oJQ-20260805-063754,222,6030,14.9254,14.1096,1.057819,17.3,20,14,skip_predicted
FP7oJQ-20260805-064117,326,6030,14.9254,14.1327,1.056085,17.83,21,21,skip_predicted
FP7oJQ-20260805-064139,270,6030,14.9254,14.1613,1.053952,18.53,10,16,skip_predicted
FP7oJQ-20260805-064158,221,6030,14.9254,14.1667,1.053556,18.67,16,13,skip_predicted
FP7oJQ-20260805-064331,326,6030,14.9254,14.1739,1.053017,18.86,16,20,skip_predicted
FP7oJQ-20260805-064352,269,6030,14.9254,14.1089,1.05787,17.28,10,17,skip_predicted
FP7oJQ-20260805-064411,220,6030,14.9254,14.1634,1.053799,18.59,16,13,skip_predicted
FP7oJQ-20260805-064608,327,6030,14.9254,14.1761,1.052855,18.92,18,20,skip_predicted
FP7oJQ-20260805-064630,268,6030,14.9254,14.1053,1.058142,17.2,14,17,skip_predicted
FP7oJQ-20260805-064649,237,6030,14.9254,14.1636,1.053782,18.59,18,14,skip_predicted
FP7oJQ-20260805-064907,326,6030,14.9254,14.1739,1.053017,18.86,16,20,skip_predicted
FP7oJQ-20260805-064928,270,6030,14.9254,14.1117,1.057656,17.34,10,17,skip_predicted
FP7oJQ-20260805-064948,235,6030,14.9254,14.0441,1.06275,15.94,16,15,skip_predicted
FP7oJQ-20260805-065321,326,6030,14.9254,14.1334,1.056039,17.84,10,20,skip_predicted
FP7oJQ-20260805-065343,269,6030,14.9254,14.1081,1.057926,17.26,18,17,skip_predicted
FP7oJQ-20260805-065402,231,6030,14.9254,13.8597,1.076888,13.01,18,15,skip_predicted
FP7oJQ-20260805-065532,326,6030,14.9254,14.1739,1.053017,18.86,21,20,skip_predicted
FP7oJQ-20260805-065553,270,6030,14.9254,14.1117,1.057656,17.34,16,17,skip_predicted
FP7oJQ-20260805-065613,236,6030,14.9254,14.1597,1.054073,18.49,21,14,skip_predicted
FP7oJQ-20260805-065844,326,6030,14.9254,14.1327,1.056085,17.83,16,21,skip_predicted
FP7oJQ-20260805-065906,269,6030,14.9254,13.9864,1.067136,14.9,16,19,skip_predicted
FP7oJQ-20260805-065925,215,6030,14.9254,13.8415,1.078306,12.77,7,18,skip_predicted
FP7oJQ-20260805-071104,326,6030,14.9254,13.8523,1.077465,12.91,12,28,skip_predicted
FP7oJQ-20260805-071125,269,6030,14.9254,13.8183,1.08012,12.48,12,23,skip_predicted
FP7oJQ-20260805-071145,219,6030,14.9254,13.8608,1.076808,13.02,12,18,skip_predicted
FP7oJQ-20260805-081347,326,6030,14.9254,13.8529,1.07742,12.92,12,28,skip_predicted
FP7oJQ-20260805-081408,268,6030,14.9254,13.8623,1.076687,13.04,12,22,skip_predicted
FP7oJQ-20260805-081428,220,6030,14.9254,13.8078,1.080936,12.36,12,19,skip_predicted
FP7oJQ-20260805-112725,302,6030,14.9254,13.8532,1.077394,12.92,7,26,skip_predicted
FP7oJQ-20260805-112745,269,6030,14.9254,13.819,1.080064,12.49,7,23,skip_predicted
FP7oJQ-20260805-112805,243,6030,14.9254,13.8068,1.081015,12.34,7,21,skip_predicted
FP7oJQ-20260805-121457,302,6030,14.9254,13.8532,1.077394,12.92,12,25,skip_predicted
FP7oJQ-20260805-121518,271,6030,14.9254,13.874,1.075783,13.2,12,22,skip_predicted
FP7oJQ-20260805-121538,228,6030,14.9254,13.8467,1.0779,12.84,12,19,skip_predicted
FP7oJQ-20260805-132524,305,6030,14.9254,13.8636,1.076584,13.06,12,26,skip_predicted
FP7oJQ-20260805-132546,268,6030,14.9254,13.8623,1.076687,13.04,12,22,skip_predicted
FP7oJQ-20260805-132605,242,6030,14.9254,13.8025,1.081349,12.29,12,21,skip_predicted
FP7oJQ-20260805-152423,307,6030,14.9254,13.8288,1.079294,12.61,12,27,skip_predicted
FP7oJQ-20260805-152445,268,6030,14.9254,13.8623,1.076687,13.04,12,22,skip_predicted
FP7oJQ-20260805-152504,227,6030,14.9254,13.8982,1.073904,13.53,7,18,skip_predicted
FP7oJQ-20260805-153251,1692,6030,14.9254,13.8689,1.076179,13.13,12,139,skip_predicted
FP7oJQ-20260805-153451,1648,6030,14.9254,13.8487,1.077742,12.86,12,137,skip_predicted
FP7oJQ-20260805-153650,1679,6030,14.9254,13.8531,1.0774,12.92,12,139,skip_predicted
FP7oJQ-20260805-153852,1648,6030,14.9254,13.8487,1.077742,12.86,12,137,skip_predicted
FP7oJQ-20260805-154051,1679,6030,14.9254,13.8837,1.075027,13.33,12,135,skip_predicted
FP7oJQ-20260805-154252,1648,6030,14.9254,13.9112,1.072906,13.72,12,129,skip_predicted
FP7oJQ-20260805-154451,1678,6030,14.9254,13.8449,1.078042,12.81,12,140,skip_predicted
FP7oJQ-20260805-154652,1649,6030,14.9254,13.8495,1.077686,12.87,12,137,skip_predicted
FP7oJQ-20260805-154851,1649,6030,14.9254,13.7493,1.085534,11.69,12,142,skip_predicted
FP7oJQ-20260805-155052,1678,6030,14.9254,13.8678,1.076263,13.11,12,137,skip_predicted
FP7oJQ-20260805-155252,1648,6030,14.9254,13.8411,1.07834,12.76,12,138,skip_predicted
FP7oJQ-20260805-155451,1650,6030,14.9254,13.8501,1.077639,12.88,12,137,skip_predicted
FP7oJQ-20260805-155651,1677,6030,14.9254,13.8443,1.078089,12.81,12,140,skip_predicted
FP7oJQ-20260805-155852,1649,6030,14.9254,13.8883,1.074672,13.39,12,132,skip_predicted
FP7oJQ-20260805-160051,1679,6030,14.9254,13.8914,1.074431,13.44,12,134,skip_predicted
FP7oJQ-20260805-160253,1648,6030,14.9254,13.8644,1.076529,13.07,12,135,skip_predicted
FP7oJQ-20260805-160451,1680,6030,14.9254,13.8691,1.076164,13.13,12,137,skip_predicted
FP7oJQ-20260805-160652,1649,6030,14.9254,13.7188,1.08795,11.37,12,142,skip_predicted
FP7oJQ-20260805-160852,1648,6030,14.9254,13.8876,1.074726,13.38,12,132,skip_predicted
FP7oJQ-20260805-161052,1679,6030,14.9254,13.8914,1.074431,13.44,12,134,skip_predicted
FP7oJQ-20260805-161252,1649,6030,14.9254,13.7954,1.081913,12.21,7,141,skip_predicted
FP7oJQ-20260805-161452,1648,6030,14.9254,13.8565,1.077136,12.96,12,136,skip_predicted
FP7oJQ-20260805-161651,1679,6030,14.9254,13.8456,1.077987,12.82,12,140,skip_predicted
FP7oJQ-20260805-161910,625,6030,14.9254,13.848,1.077803,12.85,12,52,skip_predicted
FP7oJQ-20260805-162003,858,6030,14.9254,13.8537,1.077358,12.93,12,70,skip_predicted
FP7oJQ-20260805-162227,1719,6030,14.9254,13.8554,1.077223,12.95,12,142,skip_predicted
FP7oJQ-20260805-162920,1649,6030,14.9254,13.78,1.083117,12.03,12,139,skip_predicted
