frame_index,pts_time_s,dt_ms
0,0.0,
1,0.066,66.0
2,0.133,67.0
3,0.2,67.0
4,0.266,66.0
5,0.333,67.0
6,0.4,67.0
7,0.466,66.0
8,0.533,67.0
9,0.6,67.0
10,0.666,66.0
11,0.733,67.0
12,0.8,67.0
13,0.866,66.0
14,0.933,67.0
15,1.0,67.0
16,1.066,66.0
17,1.133,67.0
18,1.2,67.0
19,1.266,66.0
20,1.333,67.0
21,1.4,67.0
22,1.466,66.0
23,1.533,67.0
24,1.6,67.0
25,1.666,66.0
26,1.733,67.0
27,1.8,67.0
28,1.866,66.0
29,1.933,67.0
30,2.0,67.0
31,2.066,66.0
32,2.133,67.0
33,2.2,67.0
34,2.266,66.0
35,2.333,67.0
36,2.4,67.0
37,2.466,66.0
38,2.533,67.0
39,2.6,67.0
40,2.666,66.0
41,2.733,67.0
42,2.8,67.0
43,2.866,66.0
44,2.933,67.0
45,3.0,67.0
46,3.066,66.0
47,3.133,67.0
48,3.2,67.0
49,3.266,66.0
50,3.333,67.0
51,3.4,67.0
52,3.466,66.0
53,3.533,67.0
54,3.6,67.0
55,3.666,66.0
56,3.733,67.0
57,3.8,67.0
58,3.866,66.0
59,3.933,67.0
60,4.0,67.0
61,4.066,66.0
62,4.133,67.0
63,4.2,67.0
64,4.266,66.0
65,4.333,67.0
66,4.4,67.0
67,4.466,66.0
68,4.533,67.0
69,4.6,67.0
70,4.666,66.0
71,4.733,67.0
72,4.8,67.0
73,4.866,66.0
74,4.933,67.0
75,5.0,67.0
76,5.066,66.0
77,5.133,67.0
78,5.2,67.0
79,5.266,66.0
80,5.333,67.0
81,5.4,67.0
82,5.466,66.0
83,5.533,67.0
84,5.6,67.0
85,5.666,66.0
86,5.733,67.0
87,5.8,67.0
88,5.866,66.0
89,5.933,67.0
90,6.0,67.0
91,6.066,66.0
92,6.133,67.0
93,6.2,67.0
94,6.266,66.0
95,6.333,67.0
96,6.4,67.0
97,6.466,66.0
98,6.533,67.0
99,6.6,67.0
100,6.666,66.0
101,6.733,67.0
102,6.8,67.0
103,6.866,66.0
104,6.933,67.0
105,7.0,67.0
106,7.066,66.0
107,7.133,67.0
108,7.2,67.0
109,7.266,66.0
110,7.333,67.0
111,7.4,67.0
112,7.466,66.0
113,7.533,67.0
114,7.6,67.0
115,7.666,66.0
116,7.733,67.0
117,7.8,67.0
118,7.866,66.0
119,7.933,67.0
120,8.0,67.0
121,8.066,66.0
122,8.133,67.0
123,8.2,67.0
124,8.266,66.0
125,8.333,67.0
126,8.4,67.0
127,8.466,66.0
128,8.533,67.0
129,8.6,67.0
130,8.666,66.0
131,8.733,67.0
132,8.8,67.0
133,8.866,66.0
134,8.933,67.0
135,9.0,67.0
136,9.066,66.0
137,9.133,67.0
138,9.2,67.0
139,9.266,66.0
140,9.333,67.0
141,9.4,67.0
142,9.466,66.0
143,9.533,67.0
144,9.6,67.0
145,9.666,66.0
146,9.733,67.0
147,9.8,67.0
148,9.866,66.0
149,9.933,67.0
150,10.0,67.0
151,10.066,66.0
152,10.133,67.0
153,10.2,67.0
154,10.266,66.0
155,10.333,67.0
156,10.4,67.0
157,10.466,66.0
158,10.533,67.0
159,10.6,67.0
160,10.666,66.0
161,10.733,67.0
162,10.8,67.0
163,10.866,66.0
164,10.933,67.0
165,11.0,67.0
166,11.066,66.0
167,11.133,67.0
168,11.2,67.0
169,11.266,66.0
170,11.333,67.0
171,11.4,67.0
172,11.466,66.0
173,11.533,67.0
174,11.6,67.0
175,11.666,66.0
176,11.733,67.0
177,11.8,67.0
178,11.866,66.0
179,11.933,67.0
180,12.0,67.0
181,12.066,66.0
182,12.133,67.0
183,12.2,67.0
184,12.266,66.0
185,12.333,67.0
186,12.4,67.0
187,12.466,66.0
188,12.533,67.0
189,12.6,67.0
190,12.666,66.0
191,12.733,67.0
192,12.8,67.0
193,12.866,66.0
194,12.933,67.0
195,13.0,67.0
196,13.066,66.0
197,13.133,67.0
198,13.2,67.0
199,13.266,66.0
200,13.333,67.0
201,13.4,67.0
202,13.466,66.0
203,13.533,67.0
204,13.6,67.0
205,13.666,66.0
206,13.733,67.0
207,13.8,67.0
208,13.866,66.0
209,13.933,67.0
210,14.0,67.0
211,14.066,66.0
212,14.133,67.0
213,14.2,67.0
214,14.266,66.0
215,14.333,67.0
216,14.4,67.0
217,14.466,66.0
218,14.533,67.0
219,14.6,67.0
220,14.666,66.0
221,14.733,67.0
222,14.8,67.0
223,14.866,66.0
224,14.933,67.0
225,15.0,67.0
226,15.066,66.0
227,15.133,67.0
228,15.2,67.0
229,15.266,66.0
230,15.333,67.0
231,15.4,67.0
232,15.466,66.0
233,15.533,67.0
234,15.6,67.0
235,15.666,66.0
236,15.733,67.0
237,15.8,67.0
238,15.866,66.0
239,15.933,67.0
240,16.0,67.0
241,16.066,66.0
242,16.133,67.0
243,16.2,67.0
244,16.266,66.0
245,16.333,67.0
246,16.4,67.0
247,16.466,66.0
248,16.533,67.0
249,16.6,67.0
250,16.666,66.0
251,16.733,67.0
252,16.8,67.0
253,16.866,66.0
254,16.933,67.0
255,17.0,67.0
256,17.066,66.0
257,17.133,67.0
258,17.2,67.0
259,17.266,66.0
260,17.333,67.0
261,17.4,67.0
262,17.466,66.0
263,17.533,67.0
264,17.6,67.0
265,17.666,66.0
266,17.733,67.0
267,17.8,67.0
268,17.866,66.0
269,17.933,67.0
270,18.0,67.0
271,18.066,66.0
272,18.133,67.0
273,18.2,67.0
274,18.266,66.0
275,18.333,67.0
276,18.4,67.0
277,18.466,66.0
278,18.533,67.0
279,18.6,67.0
280,18.666,66.0
281,18.733,67.0
282,18.8,67.0
283,18.866,66.0
284,18.933,67.0
285,19.0,67.0
286,19.066,66.0
287,19.133,67.0
288,19.2,67.0
289,19.266,66.0
290,19.333,67.0
291,19.4,67.0
292,19.466,66.0
293,19.533,67.0
294,19.6,67.0
295,19.666,66.0
296,19.733,67.0
297,19.8,67.0
298,19.866,66.0
299,19.933,67.0
300,20.0,67.0
301,20.066,66.0
302,20.133,67.0
303,20.2,67.0
304,20.266,66.0
305,20.333,67.0
306,20.4,67.0
307,20.466,66.0
308,20.533,67.0
309,20.6,67.0
310,20.666,66.0
311,20.733,67.0
312,20.8,67.0
313,20.866,66.0
314,20.933,67.0
