frame_index,brightness,people_025,people_045
0,109.06,0,0
15,109.08,0,0
30,109.11,0,0
45,109.39,0,0
60,109.33,0,0
75,109.34,0,0
90,109.37,0,0
105,109.62,0,0
120,109.57,0,0
135,109.59,0,0
150,109.62,0,0
165,109.96,0,0
180,109.9,0,0
195,109.93,0,0
210,109.97,0,0
225,110.33,0,0
240,110.3,0,0
255,110.33,0,0
270,110.36,0,0
285,110.71,0,0
300,110.66,0,0
315,110.67,0,0
330,110.69,0,0
345,110.86,0,0
360,110.76,0,0
375,110.78,0,0
390,110.82,0,0
405,111.18,0,0
420,111.21,0,0
435,111.25,0,0
450,111.3,0,0
465,111.68,0,0
480,111.69,0,0
495,111.7,0,0
510,111.73,0,0
525,111.96,0,0
540,111.98,0,0
555,112.01,0,0
570,112.04,0,0
585,112.44,0,0
600,112.42,0,0
615,112.44,0,0
630,112.47,0,0
645,112.76,0,0
660,112.71,0,0
675,112.72,0,0
690,112.71,0,0
705,112.61,0,0
720,112.35,0,0
735,112.37,0,0
750,112.38,0,0
765,112.1,0,0
780,112.0,0,0
795,112.01,0,0
810,112.03,0,0
825,111.98,0,0
840,111.78,0,0
855,111.79,0,0
870,111.81,0,0
885,111.79,0,0
900,111.61,0,0
915,111.63,0,0
930,111.64,0,0
945,111.69,0,0
960,111.51,0,0
975,111.53,0,0
990,111.56,0,0
1005,111.78,0,0
1020,111.71,0,0
1035,111.73,0,0
1050,111.76,0,0
1065,112.06,0,0
1080,112.04,0,0
1095,112.1,0,0
1110,112.29,0,0
1125,113.12,0,0
1140,113.23,0,0
1155,113.39,0,0
1170,113.56,0,0
1185,114.46,0,0
1200,114.44,0,0
1215,114.5,0,0
1230,114.61,0,0
1245,115.18,0,0
1260,115.21,0,0
1275,115.24,0,0
1290,115.26,0,0
1305,115.34,0,0
1320,115.16,0,0
1335,115.17,0,0
1350,115.19,0,0
1365,114.93,0,0
1380,114.75,0,0
1395,114.76,0,0
1410,114.75,0,0
1425,114.12,0,0
1440,114.01,0,0
1455,113.99,0,0
1470,113.83,0,0
1485,113.24,0,0
1500,113.06,0,0
1515,113.08,0,0
1530,113.14,0,0
1545,113.52,0,0
1560,113.48,0,0
1575,113.5,0,0
1590,113.53,0,0
1605,113.78,0,0
1620,113.72,0,0
1635,113.77,0,0
1650,113.79,0,0
1665,113.91,0,0
1680,113.95,0,0
1695,113.98,0,0
1710,114.23,0,0
1725,114.26,0,0
1740,114.03,0,0
1755,114.06,0,0
1770,114.27,0,0
1785,114.27,0,0
1800,114.38,0,0
1815,114.38,0,0
1830,114.46,0,0
1845,114.43,0,0
1860,114.38,0,0
1875,114.42,0,0
