frame_index,brightness,people_025,people_045
0,114.45,0,0
15,114.68,0,0
30,114.64,0,0
45,114.66,0,0
60,114.68,0,0
75,114.66,0,0
90,114.45,0,0
105,114.46,0,0
120,114.42,0,0
135,113.79,0,0
150,113.7,0,0
165,113.71,0,0
180,113.72,0,0
195,113.8,0,0
210,113.63,0,0
225,113.64,0,0
240,113.68,0,0
255,114.02,0,0
270,114.03,0,0
285,114.06,0,0
300,114.15,0,0
315,114.58,0,0
330,114.63,0,0
345,114.66,0,0
360,114.72,0,0
375,115.28,0,0
390,115.11,0,0
405,114.5,0,0
420,114.38,0,0
435,112.75,0,0
450,112.65,0,0
465,112.66,0,0
480,112.68,0,0
495,112.93,0,0
510,112.86,0,0
525,112.87,0,0
540,112.89,0,0
555,113.06,0,0
570,112.93,0,0
585,112.94,0,0
600,112.89,0,0
615,111.76,0,0
630,111.64,0,0
645,111.47,0,0
660,111.22,0,0
675,110.14,0,0
690,109.98,0,0
705,110.0,0,0
720,110.01,0,0
735,109.85,0,0
750,109.65,0,0
765,109.65,0,0
780,109.65,0,0
795,109.45,0,0
810,109.24,0,0
825,109.25,0,0
840,109.23,0,0
855,108.99,0,0
870,108.66,1,1
