frame_index,pts_time_s,dt_ms
0,0.0,
1,0.067,67.0
2,0.133,66.0
3,0.2,67.0
4,0.267,67.0
5,0.333,66.0
6,0.4,67.0
7,0.467,67.0
8,0.533,66.0
9,0.6,67.0
10,0.667,67.0
11,0.733,66.0
12,0.8,67.0
13,0.867,67.0
14,0.933,66.0
15,1.0,67.0
16,1.067,67.0
17,1.133,66.0
18,1.2,67.0
19,1.267,67.0
20,1.333,66.0
21,1.4,67.0
22,1.467,67.0
23,1.533,66.0
24,1.6,67.0
25,1.667,67.0
26,1.733,66.0
27,1.8,67.0
28,1.867,67.0
29,1.933,66.0
30,2.0,67.0
31,2.067,67.0
32,2.133,66.0
33,2.2,67.0
34,2.267,67.0
35,2.333,66.0
36,2.4,67.0
37,2.467,67.0
38,2.533,66.0
39,2.6,67.0
40,2.667,67.0
41,2.733,66.0
42,2.8,67.0
43,2.867,67.0
44,2.933,66.0
45,3.0,67.0
46,3.067,67.0
47,3.133,66.0
48,3.2,67.0
49,3.267,67.0
50,3.333,66.0
51,3.4,67.0
52,3.467,67.0
53,3.533,66.0
54,3.6,67.0
55,3.667,67.0
56,3.733,66.0
57,3.8,67.0
58,3.867,67.0
59,3.933,66.0
60,4.0,67.0
61,4.067,67.0
62,4.133,66.0
63,4.2,67.0
64,4.267,67.0
65,4.333,66.0
66,4.4,67.0
67,4.467,67.0
68,4.533,66.0
69,4.6,67.0
70,4.667,67.0
71,4.733,66.0
72,4.8,67.0
73,4.867,67.0
74,4.933,66.0
75,5.0,67.0
76,5.067,67.0
77,5.133,66.0
78,5.2,67.0
79,5.267,67.0
80,5.333,66.0
81,5.4,67.0
82,5.467,67.0
83,5.533,66.0
84,5.6,67.0
85,5.667,67.0
86,5.733,66.0
87,5.8,67.0
88,5.867,67.0
89,5.933,66.0
90,6.0,67.0
91,6.067,67.0
92,6.133,66.0
93,6.2,67.0
94,6.267,67.0
95,6.333,66.0
96,6.4,67.0
97,6.467,67.0
98,6.533,66.0
99,6.6,67.0
100,6.667,67.0
101,6.733,66.0
102,6.8,67.0
103,6.867,67.0
104,6.933,66.0
105,7.0,67.0
106,7.067,67.0
107,7.133,66.0
108,7.2,67.0
109,7.267,67.0
110,7.333,66.0
111,7.4,67.0
112,7.467,67.0
113,7.533,66.0
114,7.6,67.0
115,7.667,67.0
116,7.733,66.0
117,7.8,67.0
118,7.867,67.0
119,7.933,66.0
120,8.0,67.0
121,8.067,67.0
122,8.133,66.0
123,8.2,67.0
124,8.267,67.0
125,8.333,66.0
126,8.4,67.0
127,8.467,67.0
128,8.533,66.0
129,8.6,67.0
130,8.667,67.0
131,8.733,66.0
132,8.8,67.0
133,8.867,67.0
134,8.933,66.0
135,9.0,67.0
136,9.067,67.0
137,9.133,66.0
138,9.2,67.0
139,9.267,67.0
140,9.333,66.0
141,9.4,67.0
142,9.467,67.0
143,9.533,66.0
144,9.6,67.0
145,9.667,67.0
146,9.733,66.0
147,9.8,67.0
148,9.867,67.0
149,9.933,66.0
150,10.0,67.0
151,10.067,67.0
152,10.133,66.0
153,10.2,67.0
154,10.267,67.0
155,10.333,66.0
156,10.4,67.0
157,10.467,67.0
158,10.533,66.0
159,10.6,67.0
160,10.667,67.0
161,10.733,66.0
162,10.8,67.0
163,10.867,67.0
164,10.933,66.0
165,11.0,67.0
166,11.067,67.0
167,11.133,66.0
168,11.2,67.0
169,11.267,67.0
170,11.333,66.0
171,11.4,67.0
172,11.467,67.0
173,11.533,66.0
174,11.6,67.0
175,11.667,67.0
176,11.733,66.0
177,11.8,67.0
178,11.867,67.0
179,11.933,66.0
180,12.0,67.0
181,12.067,67.0
182,12.133,66.0
183,12.2,67.0
184,12.267,67.0
185,12.333,66.0
186,12.4,67.0
187,12.467,67.0
188,12.533,66.0
189,12.6,67.0
190,12.667,67.0
191,12.733,66.0
192,12.8,67.0
193,12.867,67.0
194,12.933,66.0
195,13.0,67.0
196,13.067,67.0
197,13.133,66.0
198,13.2,67.0
199,13.267,67.0
200,13.333,66.0
201,13.4,67.0
202,13.467,67.0
203,13.533,66.0
204,13.6,67.0
205,13.667,67.0
206,13.733,66.0
207,13.8,67.0
208,13.867,67.0
209,13.933,66.0
210,14.0,67.0
211,14.067,67.0
212,14.133,66.0
213,14.2,67.0
214,14.267,67.0
215,14.333,66.0
216,14.4,67.0
217,14.467,67.0
218,14.533,66.0
219,14.6,67.0
220,14.667,67.0
221,14.733,66.0
222,14.8,67.0
223,14.867,67.0
224,14.933,66.0
225,15.0,67.0
226,15.067,67.0
227,15.133,66.0
228,15.2,67.0
229,15.267,67.0
230,15.333,66.0
231,15.4,67.0
232,15.467,67.0
233,15.533,66.0
234,15.6,67.0
235,15.667,67.0
236,15.733,66.0
237,15.8,67.0
238,15.867,67.0
239,15.933,66.0
240,16.0,67.0
241,16.067,67.0
242,16.133,66.0
