frame_index,brightness,people_025,people_045
0,85.27,1,1
15,85.28,1,1
30,85.29,1,1
45,85.3,1,1
60,85.38,1,1
75,85.39,1,1
90,85.4,1,1
105,85.41,1,1
120,85.42,1,1
135,85.43,1,1
150,85.44,1,1
165,85.45,1,1
180,85.31,1,1
195,85.31,1,1
210,85.33,1,1
225,85.33,1,1
240,85.19,1,1
255,85.2,1,1
270,85.21,1,1
285,85.22,1,1
300,85.05,1,1
315,85.06,1,1
330,85.07,1,1
345,85.07,1,1
360,84.77,1,1
375,84.78,1,1
390,84.78,1,1
405,84.76,1,1
420,84.2,1,1
435,84.21,1,1
450,84.18,1,1
465,84.11,1,1
480,83.42,1,1
495,83.43,1,1
510,83.39,1,1
525,83.34,1,1
540,82.72,1,1
555,82.71,1,1
570,82.72,1,1
585,82.71,1,1
600,82.41,1,1
615,82.39,1,0
630,82.38,1,1
645,82.38,1,1
660,82.08,1,1
675,82.16,1,1
690,82.12,1,1
705,82.2,1,1
720,84.46,1,1
735,84.44,1,1
750,84.43,1,1
765,84.41,1,1
780,84.11,1,1
795,84.09,1,1
810,84.09,1,1
825,84.08,1,1
840,83.93,1,1
855,83.9,1,1
870,83.89,1,1
885,83.9,1,1
900,83.84,1,1
915,83.82,1,1
930,83.81,1,1
945,83.82,1,1
960,83.7,1,1
975,83.67,1,1
990,83.68,1,1
1005,83.69,1,1
1020,83.65,1,1
1035,83.63,1,1
1050,83.62,1,1
1065,83.64,1,1
1080,83.58,1,1
1095,83.57,1,1
1110,83.57,1,1
1125,83.56,1,1
1140,83.65,1,1
1155,83.63,1,1
1170,83.62,1,1
1185,84.17,1,1
1200,86.33,1,1
1215,86.31,1,1
1230,86.3,1,1
1245,86.32,1,1
1260,86.42,1,1
1275,86.4,1,1
1290,86.41,1,1
1305,86.41,1,1
1320,86.42,1,1
1335,86.4,1,1
1350,86.4,1,1
1365,86.41,1,1
1380,86.34,1,1
1395,86.31,1,1
1410,86.32,1,1
1425,86.32,1,1
1440,86.23,1,1
1455,86.22,1,1
1470,86.21,1,1
1485,86.23,1,1
1500,86.14,1,1
1515,86.13,1,1
1530,86.12,1,1
1545,86.14,1,1
1560,86.12,1,1
1575,86.1,1,1
1590,86.15,1,1
1605,86.17,1,1
1620,86.44,1,1
1635,86.41,1,1
1650,86.41,1,1
1665,86.42,1,1
