frame_index,brightness,people_025,people_045
0,108.17,0,0
15,108.24,0,0
30,108.1,0,0
45,108.11,0,0
60,108.12,0,0
75,108.18,0,0
90,107.97,0,0
105,107.98,0,0
120,108.0,0,0
135,108.05,0,0
150,107.89,0,0
165,107.89,0,0
180,107.92,0,0
195,107.95,0,0
210,107.77,0,0
225,107.78,0,0
240,107.79,0,0
255,107.91,0,0
270,107.74,0,0
285,107.75,0,0
300,107.77,0,0
315,107.83,0,0
330,107.67,0,0
345,107.68,0,0
360,107.7,0,0
375,107.77,0,0
390,107.58,0,0
405,107.59,0,0
420,107.61,0,0
435,107.71,0,0
450,107.56,0,0
465,107.57,0,0
480,107.58,0,0
495,107.64,0,0
510,107.46,0,0
525,107.44,0,0
540,107.45,0,0
555,107.62,0,0
570,107.49,0,0
585,107.39,1,0
600,107.47,1,1
615,107.76,1,1
630,108.05,1,1
645,108.09,1,1
660,108.29,0,0
675,108.28,0,0
690,108.37,0,0
705,108.45,0,0
720,108.52,0,0
735,108.35,0,0
750,107.67,0,0
765,107.71,0,0
780,107.82,0,0
795,107.83,0,0
810,107.9,0,0
825,107.89,0,0
840,107.97,0,0
855,107.58,0,0
870,107.36,0,0
885,107.38,0,0
900,107.39,0,0
915,107.19,0,0
930,106.97,1,1
945,106.96,0,0
960,107.06,1,1
975,107.26,1,1
990,107.48,0,0
1005,107.48,0,0
1020,107.62,0,0
1035,107.57,0,0
1050,107.63,0,0
1065,107.62,0,0
1080,107.68,0,0
1095,107.22,0,0
1110,107.01,0,0
1125,107.04,0,0
1140,107.08,0,0
1155,107.3,0,0
1170,107.19,0,0
1185,107.2,0,0
1200,107.22,0,0
1215,107.39,0,0
1230,107.25,0,0
1245,107.26,0,0
1260,107.26,0,0
1275,107.33,0,0
1290,107.16,0,0
1305,107.15,0,0
1320,107.34,0,0
1335,108.05,0,0
1350,108.31,0,0
1365,108.37,0,0
1380,108.57,0,0
1395,108.57,0,0
1410,108.68,0,0
1425,108.67,0,0
1440,108.74,0,0
1455,108.49,0,0
1470,108.32,0,0
1485,108.36,0,0
1500,108.53,0,0
1515,108.54,0,0
1530,108.64,0,0
1545,108.63,0,0
1560,108.7,0,0
1575,108.56,0,0
1590,108.44,0,0
1605,108.48,0,0
1620,108.64,0,0
1635,108.66,0,0
1650,108.73,0,0
1665,108.75,0,0
1680,108.81,0,0
1695,108.34,0,0
1710,108.14,0,0
1725,108.15,0,0
1740,108.16,0,0
1755,108.38,0,0
1770,108.3,0,0
1785,108.31,0,0
1800,108.33,0,0
1815,108.45,0,0
1830,108.3,0,0
1845,108.32,0,0
1860,108.33,0,0
1875,108.45,0,0
1890,108.3,0,0
1905,108.3,0,0
1920,108.32,0,0
1935,108.42,0,0
1950,108.33,0,0
1965,108.34,0,0
1980,108.36,0,0
1995,108.46,0,0
2010,108.33,0,0
2025,108.34,0,0
2040,108.35,0,0
2055,108.42,0,0
2070,108.34,0,0
2085,108.35,0,0
