frame_index,pts_time_s,dt_ms
0,0.0,
1,0.134,134.0
2,0.2,66.0
3,0.267,67.0
4,0.334,67.0
5,0.4,66.0
6,0.467,67.0
7,0.534,67.0
8,0.667,133.0
9,0.734,67.0
10,0.8,66.0
11,0.867,67.0
12,0.934,67.0
13,1.0,66.0
14,1.067,67.0
15,1.134,67.0
16,1.2,66.0
17,1.267,67.0
18,1.334,67.0
19,1.4,66.0
20,1.467,67.0
21,1.534,67.0
22,1.6,66.0
23,1.667,67.0
24,1.8,133.0
25,1.867,67.0
26,1.934,67.0
27,2.0,66.0
28,2.067,67.0
29,2.134,67.0
30,2.2,66.0
31,2.267,67.0
32,2.334,67.0
33,2.4,66.0
34,2.534,134.0
35,2.6,66.0
36,2.667,67.0
37,2.734,67.0
38,2.8,66.0
39,2.867,67.0
40,2.934,67.0
41,3.067,133.0
42,3.134,67.0
43,3.2,66.0
44,3.267,67.0
45,3.334,67.0
46,3.4,66.0
47,3.467,67.0
48,3.534,67.0
49,3.6,66.0
50,3.667,67.0
51,3.734,67.0
52,3.8,66.0
53,3.867,67.0
54,3.934,67.0
55,4.0,66.0
56,4.067,67.0
57,4.134,67.0
58,4.267,133.0
59,4.334,67.0
60,4.4,66.0
61,4.467,67.0
62,4.534,67.0
63,4.6,66.0
64,4.667,67.0
65,4.8,133.0
66,4.867,67.0
67,4.934,67.0
68,5.0,66.0
69,5.067,67.0
70,5.134,67.0
71,5.2,66.0
72,5.267,67.0
73,5.334,67.0
74,5.4,66.0
75,5.467,67.0
76,5.534,67.0
77,5.6,66.0
78,5.667,67.0
79,5.734,67.0
80,5.8,66.0
81,5.867,67.0
82,6.0,133.0
83,6.067,67.0
84,6.134,67.0
85,6.2,66.0
86,6.267,67.0
87,6.334,67.0
88,6.4,66.0
89,6.534,134.0
90,6.6,66.0
91,6.667,67.0
92,6.734,67.0
93,6.8,66.0
94,6.867,67.0
95,6.934,67.0
96,7.0,66.0
97,7.067,67.0
98,7.134,67.0
99,7.2,66.0
100,7.267,67.0
101,7.334,67.0
102,7.4,66.0
103,7.467,67.0
104,7.534,67.0
105,7.6,66.0
106,7.734,134.0
107,7.8,66.0
108,7.867,67.0
109,7.934,67.0
110,8.0,66.0
111,8.067,67.0
112,8.134,67.0
113,8.267,133.0
114,8.334,67.0
115,8.4,66.0
116,8.467,67.0
117,8.534,67.0
118,8.6,66.0
119,8.667,67.0
120,8.734,67.0
121,8.8,66.0
122,8.867,67.0
123,8.934,67.0
124,9.0,66.0
125,9.067,67.0
126,9.134,67.0
127,9.2,66.0
128,9.267,67.0
129,9.334,67.0
130,9.467,133.0
131,9.534,67.0
132,9.6,66.0
133,9.667,67.0
134,9.734,67.0
135,9.8,66.0
136,9.867,67.0
137,10.0,133.0
138,10.067,67.0
139,10.134,67.0
140,10.2,66.0
141,10.267,67.0
142,10.334,67.0
143,10.4,66.0
144,10.467,67.0
145,10.534,67.0
146,10.6,66.0
147,10.667,67.0
148,10.734,67.0
149,10.8,66.0
150,10.867,67.0
151,10.934,67.0
152,11.0,66.0
153,11.067,67.0
154,11.2,133.0
155,11.267,67.0
156,11.334,67.0
157,11.4,66.0
158,11.467,67.0
159,11.534,67.0
160,11.6,66.0
161,11.734,134.0
162,11.8,66.0
163,11.867,67.0
164,11.934,67.0
165,12.0,66.0
166,12.067,67.0
167,12.134,67.0
168,12.2,66.0
169,12.267,67.0
170,12.334,67.0
171,12.4,66.0
172,12.467,67.0
173,12.534,67.0
174,12.6,66.0
175,12.667,67.0
176,12.734,67.0
177,12.8,66.0
178,12.934,134.0
179,13.0,66.0
180,13.067,67.0
181,13.134,67.0
182,13.2,66.0
183,13.267,67.0
184,13.334,67.0
185,13.467,133.0
186,13.534,67.0
187,13.6,66.0
188,13.667,67.0
189,13.734,67.0
190,13.8,66.0
191,13.867,67.0
192,13.934,67.0
193,14.0,66.0
194,14.067,67.0
195,14.134,67.0
196,14.2,66.0
197,14.267,67.0
198,14.334,67.0
199,14.4,66.0
200,14.467,67.0
201,14.534,67.0
202,14.667,133.0
203,14.734,67.0
204,14.8,66.0
205,14.867,67.0
206,14.934,67.0
207,15.0,66.0
208,15.067,67.0
209,15.2,133.0
210,15.267,67.0
211,15.334,67.0
212,15.4,66.0
213,15.467,67.0
214,15.534,67.0
215,15.6,66.0
216,15.667,67.0
217,15.734,67.0
218,15.8,66.0
219,15.867,67.0
220,15.934,67.0
221,16.0,66.0
222,16.067,67.0
223,16.134,67.0
224,16.2,66.0
225,16.267,67.0
226,16.4,133.0
227,16.467,67.0
228,16.534,67.0
229,16.6,66.0
230,16.667,67.0
231,16.734,67.0
232,16.8,66.0
233,16.934,134.0
234,17.0,66.0
235,17.067,67.0
236,17.134,67.0
237,17.2,66.0
238,17.267,67.0
239,17.334,67.0
240,17.4,66.0
241,17.467,67.0
242,17.534,67.0
243,17.6,66.0
244,17.667,67.0
245,17.734,67.0
246,17.8,66.0
247,17.867,67.0
248,17.934,67.0
249,18.0,66.0
250,18.134,134.0
251,18.2,66.0
252,18.267,67.0
253,18.334,67.0
254,18.4,66.0
255,18.467,67.0
256,18.534,67.0
257,18.667,133.0
258,18.734,67.0
259,18.8,66.0
260,18.867,67.0
261,18.934,67.0
262,19.0,66.0
263,19.067,67.0
264,19.134,67.0
265,19.2,66.0
266,19.267,67.0
267,19.334,67.0
268,19.4,66.0
269,19.467,67.0
270,19.534,67.0
271,19.6,66.0
272,19.667,67.0
273,19.8,133.0
274,19.867,67.0
275,19.934,67.0
276,20.0,66.0
277,20.067,67.0
278,20.134,67.0
279,20.2,66.0
280,20.267,67.0
281,20.334,67.0
282,20.4,66.0
283,20.534,134.0
284,20.6,66.0
285,20.667,67.0
286,20.734,67.0
287,20.8,66.0
288,20.867,67.0
289,20.934,67.0
290,21.067,133.0
291,21.134,67.0
292,21.2,66.0
293,21.267,67.0
294,21.334,67.0
295,21.4,66.0
296,21.467,67.0
297,21.534,67.0
298,21.6,66.0
299,21.667,67.0
300,21.734,67.0
301,21.8,66.0
302,21.867,67.0
303,21.934,67.0
304,22.0,66.0
305,22.067,67.0
306,22.134,67.0
307,22.267,133.0
308,22.334,67.0
309,22.4,66.0
