frame_index,brightness,people_025,people_045
0,108.36,0,0
15,108.54,0,0
30,108.39,0,0
45,108.41,0,0
60,108.43,0,0
75,108.54,0,0
90,108.44,0,0
105,108.45,0,0
120,108.47,0,0
135,108.6,0,0
150,108.46,0,0
165,108.47,0,0
180,108.48,0,0
195,108.63,0,0
210,108.51,0,0
225,108.52,0,0
240,108.54,0,0
255,108.61,0,0
270,108.49,0,0
285,108.5,0,0
300,108.51,0,0
315,108.67,0,0
330,108.54,0,0
345,108.55,0,0
360,108.57,0,0
375,108.68,0,0
390,108.53,0,0
405,108.54,0,0
420,108.56,0,0
435,108.72,0,0
450,108.59,0,0
465,108.6,0,0
480,108.61,0,0
495,108.77,0,0
510,108.65,0,0
525,108.66,0,0
540,108.68,0,0
555,108.79,0,0
570,108.65,0,0
585,108.66,0,0
600,108.68,0,0
615,108.77,0,0
630,108.67,0,0
645,108.68,0,0
660,108.7,0,0
675,108.76,0,0
690,108.61,0,0
705,108.62,0,0
720,108.64,0,0
735,108.73,0,0
750,108.61,0,0
765,108.62,0,0
780,108.64,0,0
795,108.76,0,0
810,108.63,0,0
825,108.64,0,0
840,108.65,0,0
855,108.74,0,0
870,108.61,0,0
885,108.62,0,0
900,108.64,0,0
915,108.65,0,0
930,108.47,0,0
945,108.47,0,0
960,108.41,0,0
975,108.4,1,1
990,108.73,1,1
1005,108.82,2,2
1020,108.98,0,0
1035,108.7,1,1
1050,108.62,1,1
1065,108.79,0,0
1080,108.93,0,0
1095,108.94,0,0
1110,109.05,0,0
1125,109.05,0,0
1140,109.1,0,0
1155,108.68,0,0
1170,108.34,0,0
1185,108.35,0,0
1200,108.36,0,0
1215,108.47,0,0
1230,108.3,0,0
1245,108.31,0,0
1260,108.33,0,0
1275,108.35,0,0
1290,108.02,0,0
1305,108.15,0,0
1320,108.12,0,0
1335,108.2,0,0
1350,108.05,0,0
1365,108.08,0,0
1380,108.1,0,0
1395,108.29,0,0
1410,108.19,0,0
1425,108.19,0,0
1440,108.21,0,0
1455,108.41,0,0
1470,108.31,0,0
1485,108.32,0,0
1500,108.33,0,0
1515,108.32,0,0
1530,108.23,0,0
1545,108.24,0,0
1560,108.25,0,0
1575,108.79,0,0
1590,109.02,0,0
1605,109.07,0,0
1620,109.26,0,0
1635,109.0,0,0
1650,108.88,0,0
1665,108.93,0,0
1680,109.08,0,0
1695,109.09,0,0
1710,109.19,0,0
1725,109.2,0,0
1740,109.28,0,0
1755,108.92,0,0
1770,108.67,0,0
1785,108.68,0,0
1800,108.7,0,0
1815,108.84,0,0
1830,108.69,0,0
1845,108.7,0,0
1860,108.73,0,0
1875,108.93,0,0
1890,108.85,0,0
1905,108.87,0,0
1920,108.9,0,0
1935,109.17,0,0
