frame_index,brightness,people_025,people_045
0,88.4,1,1
15,88.65,2,1
30,88.81,1,1
45,88.73,1,1
60,88.46,1,1
75,88.37,1,1
90,88.32,2,2
105,88.67,2,2
120,88.31,4,2
135,88.61,2,2
150,88.67,2,1
165,88.94,2,1
180,88.89,3,2
195,88.89,2,2
210,88.48,2,2
225,88.06,2,2
240,88.07,2,2
255,88.01,2,2
270,88.12,2,2
285,88.68,2,2
300,89.4,2,2
315,89.86,2,2
330,89.7,2,2
345,89.57,2,2
360,88.98,3,3
375,88.99,3,2
390,89.29,3,3
405,89.16,3,3
420,89.07,3,3
435,88.94,3,3
450,89.24,3,3
465,89.24,3,3
480,89.11,3,2
495,88.99,3,3
510,89.17,3,3
525,89.32,3,3
540,89.29,4,1
555,89.23,2,2
570,89.43,2,1
585,89.27,3,1
600,89.18,3,3
615,88.95,3,3
630,88.92,3,3
645,89.19,3,3
660,88.9,2,2
675,88.92,3,2
690,89.16,3,3
705,89.15,3,3
720,89.07,3,3
735,89.16,3,2
750,89.16,3,2
765,89.37,3,2
780,89.46,4,2
795,89.43,2,2
810,89.4,2,2
825,89.48,2,2
840,89.14,2,2
855,89.1,2,2
870,89.25,3,2
885,89.32,3,3
900,89.35,3,2
915,89.31,3,2
930,89.27,3,3
945,89.5,3,3
960,88.83,3,2
975,89.01,4,2
990,88.87,4,3
1005,88.81,4,4
1020,88.84,4,2
1035,88.88,3,2
1050,88.82,4,4
1065,88.66,3,3
1080,88.24,4,4
1095,88.28,3,3
1110,88.12,4,4
1125,88.01,4,4
1140,87.97,5,4
1155,87.93,4,4
1170,87.99,4,4
1185,88.37,5,4
1200,88.85,4,4
1215,88.89,4,4
1230,89.08,4,4
1245,89.21,4,4
1260,89.19,4,4
1275,89.15,4,4
1290,89.18,4,4
1305,89.17,4,4
1320,88.78,2,2
1335,88.8,2,2
1350,88.9,2,2
1365,88.91,3,2
1380,88.99,3,3
1395,89.29,3,3
1410,89.37,3,3
1425,89.7,3,3
1440,89.33,3,3
1455,89.14,3,3
1470,88.75,3,3
1485,88.84,3,3
1500,88.96,3,2
1515,88.83,1,1
1530,88.77,3,2
1545,89.1,3,3
1560,89.18,3,3
1575,89.12,3,3
1590,89.03,3,3
1605,89.01,3,3
1620,89.19,3,3
1635,89.24,3,3
1650,89.29,3,3
1665,89.18,3,2
1680,88.96,3,3
1695,88.9,3,2
1710,89.28,3,2
1725,88.78,3,2
1740,88.42,2,2
1755,88.13,2,2
1770,88.55,3,3
1785,88.53,4,4
1800,88.07,4,4
1815,88.22,3,3
1830,88.2,4,3
1845,88.33,4,3
1860,88.53,4,4
1875,88.58,4,3
1890,88.62,4,4
1905,88.44,4,4
1920,88.28,4,3
1935,88.42,5,3
1950,88.51,4,3
1965,88.64,3,2
1980,88.62,3,3
1995,88.42,3,3
2010,88.29,2,1
2025,88.15,3,3
2040,87.91,4,4
2055,87.88,4,4
2070,87.93,4,4
2085,87.74,5,4
2100,87.45,3,3
2115,87.39,4,4
2130,87.6,4,4
2145,88.08,4,4
2160,88.25,4,3
2175,88.42,4,4
2190,88.47,4,2
2205,88.26,5,4
2220,88.37,4,4
2235,88.51,4,4
2250,88.69,4,2
2265,88.54,3,2
2280,88.14,3,3
2295,88.19,2,2
2310,88.5,2,2
2325,88.8,2,2
2340,89.0,3,3
2355,88.86,3,2
2370,88.85,3,3
2385,88.96,3,3
2400,89.24,3,3
2415,89.36,3,3
2430,89.33,3,3
2445,89.45,3,3
2460,89.43,3,3
2475,89.43,3,3
2490,89.64,3,3
2505,89.64,2,2
2520,89.17,3,2
2535,89.19,3,2
2550,89.29,3,2
2565,89.33,3,1
2580,89.38,3,2
2595,89.73,3,2
2610,89.94,3,3
2625,89.68,3,3
2640,88.9,3,3
2655,88.39,3,2
2670,88.41,3,2
2685,88.72,4,3
2700,88.34,2,2
2715,88.36,2,2
2730,88.85,2,2
2745,88.73,3,3
2760,88.62,3,2
2775,88.59,3,2
2790,88.78,3,2
2805,88.86,2,2
2820,88.75,2,2
2835,88.72,2,2
2850,88.68,3,3
2865,88.85,2,2
2880,88.81,3,3
2895,88.89,3,3
2910,89.08,2,2
2925,89.16,2,2
2940,89.21,3,2
2955,89.16,2,2
2970,89.06,3,2
2985,88.89,3,3
3000,88.8,3,2
3015,89.0,2,1
3030,89.23,3,3
3045,89.37,3,3
3060,89.4,3,3
3075,89.36,3,3
3090,89.38,3,3
3105,89.58,3,3
3120,89.02,3,2
3135,89.01,3,2
3150,89.11,4,3
3165,89.13,3,3
3180,89.17,2,2
3195,89.25,2,2
3210,89.38,3,2
3225,89.38,2,2
3240,89.03,3,2
3255,89.17,3,2
3270,89.19,2,2
3285,89.6,2,2
3300,89.22,3,3
3315,88.39,3,2
3330,87.4,4,2
3345,87.55,3,2
3360,87.83,3,3
3375,88.13,3,3
3390,87.93,3,3
3405,87.88,3,3
3420,88.27,3,3
3435,88.63,4,4
3450,89.18,3,3
3465,89.01,3,3
3480,89.4,3,2
3495,89.42,2,2
3510,89.49,3,2
3525,89.53,3,3
