frame_index,pts_time_s,dt_ms
0,0.0,
1,0.033,33.0
2,0.066,33.0
3,0.1,34.0
4,0.133,33.0
5,0.166,33.0
6,0.2,34.0
7,0.233,33.0
8,0.266,33.0
9,0.3,34.0
10,0.333,33.0
11,0.366,33.0
12,0.4,34.0
13,0.433,33.0
14,0.466,33.0
15,0.5,34.0
16,0.533,33.0
17,0.566,33.0
18,0.6,34.0
19,0.633,33.0
20,0.666,33.0
21,0.7,34.0
22,0.733,33.0
23,0.766,33.0
24,0.8,34.0
25,0.833,33.0
26,0.866,33.0
27,0.9,34.0
28,0.933,33.0
29,0.966,33.0
30,1.0,34.0
31,1.033,33.0
32,1.066,33.0
33,1.1,34.0
34,1.133,33.0
35,1.166,33.0
36,1.2,34.0
37,1.233,33.0
38,1.266,33.0
39,1.3,34.0
40,1.333,33.0
41,1.366,33.0
42,1.4,34.0
43,1.433,33.0
44,1.466,33.0
45,1.5,34.0
46,1.533,33.0
47,1.566,33.0
48,1.6,34.0
49,1.633,33.0
50,1.666,33.0
51,1.7,34.0
52,1.733,33.0
53,1.766,33.0
54,1.8,34.0
55,1.833,33.0
56,1.866,33.0
57,1.9,34.0
58,1.933,33.0
59,1.966,33.0
60,2.0,34.0
61,2.033,33.0
62,2.066,33.0
63,2.1,34.0
64,2.133,33.0
65,2.166,33.0
66,2.2,34.0
67,2.233,33.0
68,2.266,33.0
69,2.3,34.0
70,2.333,33.0
71,2.366,33.0
72,2.4,34.0
73,2.433,33.0
74,2.466,33.0
75,2.5,34.0
76,2.533,33.0
77,2.566,33.0
78,2.6,34.0
79,2.633,33.0
80,2.666,33.0
81,2.7,34.0
82,2.733,33.0
83,2.766,33.0
84,2.8,34.0
85,2.833,33.0
86,2.866,33.0
87,2.9,34.0
88,2.933,33.0
89,2.966,33.0
90,3.0,34.0
91,3.033,33.0
92,3.066,33.0
93,3.1,34.0
94,3.133,33.0
95,3.166,33.0
96,3.2,34.0
97,3.233,33.0
98,3.266,33.0
99,3.3,34.0
100,3.333,33.0
101,3.366,33.0
102,3.4,34.0
103,3.433,33.0
104,3.466,33.0
105,3.5,34.0
106,3.533,33.0
107,3.566,33.0
108,3.6,34.0
109,3.633,33.0
110,3.666,33.0
111,3.7,34.0
112,3.733,33.0
113,3.766,33.0
114,3.8,34.0
115,3.833,33.0
116,3.866,33.0
117,3.9,34.0
118,3.933,33.0
119,3.966,33.0
120,4.0,34.0
121,4.033,33.0
122,4.066,33.0
123,4.1,34.0
124,4.133,33.0
125,4.166,33.0
126,4.2,34.0
127,4.233,33.0
128,4.266,33.0
129,4.3,34.0
130,4.333,33.0
131,4.366,33.0
132,4.4,34.0
133,4.433,33.0
134,4.466,33.0
135,4.5,34.0
136,4.533,33.0
137,4.566,33.0
138,4.6,34.0
139,4.633,33.0
140,4.666,33.0
141,4.7,34.0
142,4.733,33.0
143,4.766,33.0
144,4.8,34.0
145,4.833,33.0
146,4.866,33.0
147,4.9,34.0
148,4.933,33.0
149,4.966,33.0
150,5.0,34.0
151,5.033,33.0
152,5.066,33.0
153,5.1,34.0
154,5.133,33.0
155,5.166,33.0
156,5.2,34.0
157,5.233,33.0
158,5.266,33.0
159,5.3,34.0
160,5.333,33.0
161,5.366,33.0
162,5.4,34.0
163,5.433,33.0
164,5.466,33.0
165,5.5,34.0
166,5.533,33.0
167,5.566,33.0
168,5.6,34.0
169,5.633,33.0
170,5.666,33.0
171,5.7,34.0
172,5.733,33.0
173,5.766,33.0
174,5.8,34.0
175,5.833,33.0
176,5.866,33.0
177,5.9,34.0
178,5.933,33.0
179,5.966,33.0
180,6.0,34.0
181,6.033,33.0
182,6.066,33.0
183,6.1,34.0
184,6.133,33.0
185,6.166,33.0
186,6.2,34.0
187,6.233,33.0
188,6.266,33.0
189,6.3,34.0
190,6.333,33.0
191,6.366,33.0
192,6.4,34.0
193,6.433,33.0
194,6.466,33.0
195,6.5,34.0
196,6.533,33.0
197,6.566,33.0
198,6.6,34.0
199,6.633,33.0
200,6.666,33.0
201,6.7,34.0
202,6.733,33.0
203,6.766,33.0
204,6.8,34.0
205,6.833,33.0
206,6.866,33.0
207,6.9,34.0
208,6.933,33.0
209,6.966,33.0
210,7.0,34.0
211,7.033,33.0
212,7.066,33.0
213,7.1,34.0
214,7.133,33.0
215,7.166,33.0
216,7.2,34.0
217,7.233,33.0
218,7.266,33.0
219,7.3,34.0
220,7.333,33.0
221,7.4,67.0
222,7.433,33.0
223,7.466,33.0
224,7.5,34.0
225,7.533,33.0
226,7.566,33.0
227,7.6,34.0
228,7.633,33.0
229,7.666,33.0
230,7.7,34.0
231,7.733,33.0
232,7.766,33.0
233,7.8,34.0
234,7.833,33.0
235,7.866,33.0
236,7.9,34.0
237,7.933,33.0
238,7.966,33.0
239,8.0,34.0
240,8.033,33.0
241,8.066,33.0
242,8.1,34.0
243,8.133,33.0
244,8.166,33.0
245,8.2,34.0
246,8.233,33.0
247,8.266,33.0
248,8.3,34.0
249,8.333,33.0
250,8.366,33.0
251,8.4,34.0
252,8.433,33.0
253,8.466,33.0
254,8.5,34.0
255,8.533,33.0
256,8.566,33.0
257,8.6,34.0
258,8.633,33.0
259,8.666,33.0
260,8.7,34.0
261,8.733,33.0
262,8.766,33.0
263,8.8,34.0
264,8.833,33.0
265,8.866,33.0
266,8.9,34.0
267,8.933,33.0
268,8.966,33.0
269,9.0,34.0
270,9.033,33.0
271,9.066,33.0
272,9.1,34.0
273,9.133,33.0
274,9.166,33.0
275,9.2,34.0
276,9.233,33.0
277,9.266,33.0
278,9.3,34.0
279,9.333,33.0
280,9.366,33.0
281,9.4,34.0
282,9.433,33.0
283,9.466,33.0
284,9.5,34.0
285,9.533,33.0
286,9.566,33.0
